,Speaker,Utterance,Unified
5,B,Uh-huh. Uh-huh.,B|Uh-huh. Uh-huh.
6,M,It ',M|It '
7,B,okay.,B|okay.
8,M,we've got 3.5 billion people.,M|we've got 3.5 billion people.
9,B,Uh-huh. Right.,B|Uh-huh. Right.
10,M,uhhuh. Uhuh.,M|uhhuh. Uhuh.
11,B,Huh.  Uh-huh.,B|Huh.  Uh-huh.
12,M,I think you can get the cash from the bank.,M|I think you can get the cash from the bank.
13,B,"That's true if, if it's on the credit card it doesn't seem like it's money out of your pocket. Sometimes you may think, well, I don't have the money so you use the credit card it's like fake money or something.","B|That's true if, if it's on the credit card it doesn't seem like it's money out of your pocket. Sometimes you may think, well, I don't have the money so you use the credit card it's like fake money or something."
14,M,No.,M|No.
15,B,"Yeah, you think, well, I don't have it now but payday will come and then I'll have the money.","B|Yeah, you think, well, I don't have it now but payday will come and then I'll have the money."
16,M,This.,M|This.
17,B,"But that's probably paying for things that were still owed from last time,","B|But that's probably paying for things that were still owed from last time,"
18,M,"Oh, you have money","M|Oh, you have money"
19,B,Yes.,B|Yes.
20,M,Are you single?,M|Are you single?
21,B,Uh-huh.,B|Uh-huh.
22,M,"Wait, how?","M|Wait, how?"
23,B,Uh-huh.,B|Uh-huh.
24,M,Hahaha. Ok then.,M|Hahaha. Ok then.
25,B,Huh.,B|Huh.
26,M,I think it's just her.,M|I think it's just her.
27,B,Right.  Besides the fact that how much interest you pay and then this ...,B|Right.  Besides the fact that how much interest you pay and then this ...
28,M,I... I'm sorry?,M|I... I'm sorry?
29,B,"Yeah, this thing that you thought you got on sale, by the time you get done paying with that with all the finance charges because you pay it off over a long period of time, you've spent a heck of a lot of money on that thing.","B|Yeah, this thing that you thought you got on sale, by the time you get done paying with that with all the finance charges because you pay it off over a long period of time, you've spent a heck of a lot of money on that thing."
30,M,I'm sorry I don't get it.,M|I'm sorry I don't get it.
31,B,Uh-huh.,B|Uh-huh.
32,M,"No, it's a cash back gift card","M|No, it's a cash back gift card"
33,B,Uh-huh.   Uh-huh.,B|Uh-huh.   Uh-huh.
34,M,I don't.,M|I don't.
35,B,Uh-huh.,B|Uh-huh.
36,M,you,M|you
37,B,Huh.,B|Huh.
38,M,Uhhh?,M|Uhhh?
39,B,Service charge you mean?,B|Service charge you mean?
40,M,"I have to get to my car, so I'm going to be taking the bus.","M|I have to get to my car, so I'm going to be taking the bus."
41,B,"Yearly fee, yeah.","B|Yearly fee, yeah."
42,M,Do you mean the monthly fee?,M|Do you mean the monthly fee?
43,B,"Oh, you get that stuff in the mail all the time.","B|Oh, you get that stuff in the mail all the time."
44,M,"It's not a big deal, you can buy it in the US.","M|It's not a big deal, you can buy it in the US."
45,B,"What I really hate in the mail is like for the credit cards that I do have still, that they send you these things that look like checks,","B|What I really hate in the mail is like for the credit cards that I do have still, that they send you these things that look like checks,"
46,M,you.,M|you.
47,B,"and they say, hey, you know, two thousand dollars, you know, free to you kind of thing, you know, all you got to do is go cash those things and you've got a short term loan. I hate it,","B|and they say, hey, you know, two thousand dollars, you know, free to you kind of thing, you know, all you got to do is go cash those things and you've got a short term loan. I hate it,"
48,M,.,M|.
49,B,I can't believe they have the nerve to do that.,B|I can't believe they have the nerve to do that.
50,M,I'm pretty sure they're using the same script for the credits.,M|I'm pretty sure they're using the same script for the credits.
51,B,Uh-huh.,B|Uh-huh.
52,M,Yeah. But it's a bit of a shame,M|Yeah. But it's a bit of a shame
53,B,Uh-huh.,B|Uh-huh.
54,M,,M|
55,B,Uh-huh.,B|Uh-huh.
56,M,ThatYeah.?They.adays,M|ThatYeah.?They.adays
57,B,Yeah.,B|Yeah.
58,M,she,M|she
59,B,"Yeah, I think it's, it's somewhat a, uh, symptom of our, me generation and that, we think we need all these things and I think my parents always, you know, did without or saved up to, you know, buy things and we consider that so many of these things we just have to have, you know, like when I first got my apartment and I was setting it up I did try to economize some but, you know, I was just like, well, I have to have it all furnished and I have to have all of my kitchen setup and you don't, you know, do without too much and, you know, that's how I got started kind of with setting up a household all up, you know, it kind of like, in the short amount of time. You know, you just have to have these things just, you know, have them at home, have to have them at my own place and that's, you know, a big expenditure to start, um, buying all these things that you think or, or have to have and actually they're kind of luxuries or you should save up slowly and keep buying them and not just rush out and furnish the whole place,  you know, going in one big swoop, save up and then buy it.","B|Yeah, I think it's, it's somewhat a, uh, symptom of our, me generation and that, we think we need all these things and I think my parents always, you know, did without or saved up to, you know, buy things and we consider that so many of these things we just have to have, you know, like when I first got my apartment and I was setting it up I did try to economize some but, you know, I was just like, well, I have to have it all furnished and I have to have all of my kitchen setup and you don't, you know, do without too much and, you know, that's how I got started kind of with setting up a household all up, you know, it kind of like, in the short amount of time. You know, you just have to have these things just, you know, have them at home, have to have them at my own place and that's, you know, a big expenditure to start, um, buying all these things that you think or, or have to have and actually they're kind of luxuries or you should save up slowly and keep buying them and not just rush out and furnish the whole place,  you know, going in one big swoop, save up and then buy it."
60,M,II,M|II
61,B,"But we're not into that. We're into like, have to have it all now.","B|But we're not into that. We're into like, have to have it all now."
62,M,yes,M|yes
63,B,"Well, we're geared to that. We're like, okay, like I want a living room set. And instead of sitting back and, and going, okay, well, it's going to cost maybe a thousand dollars, two thousand dollars and I'll save for two years,","B|Well, we're geared to that. We're like, okay, like I want a living room set. And instead of sitting back and, and going, okay, well, it's going to cost maybe a thousand dollars, two thousand dollars and I'll save for two years,"
64,M,:,M|:
65,B,"people go, oh, well, I'll just go buy it, put it on credit and they'll pay it off.","B|people go, oh, well, I'll just go buy it, put it on credit and they'll pay it off."
66,M,I,M|I
67,B,"People aren't tuned in to like saving for it and then buying it, they just put it on a charge card, put it on account, and then pay off the bill because they want it now.","B|People aren't tuned in to like saving for it and then buying it, they just put it on a charge card, put it on account, and then pay off the bill because they want it now."
68,M,,M|
69,B,It's always have to have it now.,B|It's always have to have it now.
70,M,"You can't buy a credit card with it, it's a credit.","M|You can't buy a credit card with it, it's a credit."
71,B,"no, no, but I have had some times when I've had some pretty good balances on there and, uh, you know, I finally, you know, paid them all off and thought this is, you know, kind of nonsense. So, we don't, uh, have big balances on them at, all now we're, we're, you know, we, I use it occasionally but I pay it right off. We're ...","B|no, no, but I have had some times when I've had some pretty good balances on there and, uh, you know, I finally, you know, paid them all off and thought this is, you know, kind of nonsense. So, we don't, uh, have big balances on them at, all now we're, we're, you know, we, I use it occasionally but I pay it right off. We're ..."
72,M,I,M|I
73,B,"Yeah, you learn the, you know, the hard way, you hate paying all that interest and I've never been one to itemize on my income, tax and never had enough to itemize and so it's just a big chunk of money and you realize that you're not buying anything on sale your paying, so much more for that item, because you've got finance charge and the cost of having that card every year which is what, forty dollars sometimes just to have the card.","B|Yeah, you learn the, you know, the hard way, you hate paying all that interest and I've never been one to itemize on my income, tax and never had enough to itemize and so it's just a big chunk of money and you realize that you're not buying anything on sale your paying, so much more for that item, because you've got finance charge and the cost of having that card every year which is what, forty dollars sometimes just to have the card."
74,M,,M|
75,B,"That's, a lot of money that you went to buy this item.","B|That's, a lot of money that you went to buy this item."
76,M,You,M|You
