,Speaker,Utterance,Unified
5,B,You were?,B|You were?
6,M,I was.,M|I was.
7,B,Uh-huh. Uh-huh.,B|Uh-huh. Uh-huh.
8,M,"Well uh, uh, you are a woman.","M|Well uh, uh, you are a woman."
9,B,"Yeah. Yeah, yeah. From what I understand, they act up pretty bad","B|Yeah. Yeah, yeah. From what I understand, they act up pretty bad"
10,M,"It's not like it's not bad, you just don't see them.","M|It's not like it's not bad, you just don't see them."
11,B,"What, uh, grade is your daughter in?","B|What, uh, grade is your daughter in?"
12,M,"That's not what I meant, I mean you can't really say that about a school in the middle of the road.","M|That's not what I meant, I mean you can't really say that about a school in the middle of the road."
13,B,"Uh-huh, uh-huh.","B|Uh-huh, uh-huh."
14,M,"Uh, uh, uh.","M|Uh, uh, uh."
15,B,"Uh-huh, uh-huh. Yeah.","B|Uh-huh, uh-huh. Yeah."
16,M,"I'm sorry, I'm sorry. I'm not sorry.","M|I'm sorry, I'm sorry. I'm not sorry."
17,B,"Oh, no, uh-huh. They always had a paddle in our school.","B|Oh, no, uh-huh. They always had a paddle in our school."
18,M,"Uhh, uh, uh. Uh, uh","M|Uhh, uh, uh. Uh, uh"
19,B,I know.,B|I know.
20,M,"Uhh, uh, uh... yeah, uh.","M|Uhh, uh, uh... yeah, uh."
21,B,"Uh-huh. Yeah, yeah.","B|Uh-huh. Yeah, yeah."
22,M,"So, uh, uh. Yeah, uh... yeah, uh","M|So, uh, uh. Yeah, uh... yeah, uh"
23,B,"Uh-huh, uh-huh. Uh-huh.","B|Uh-huh, uh-huh. Uh-huh."
24,M,"Ohhhh, uh, yeah, yeah.","M|Ohhhh, uh, yeah, yeah."
25,B,"Yeah. Wasn't that what part of the lottery is going to go for, if we approve it?","B|Yeah. Wasn't that what part of the lottery is going to go for, if we approve it?"
26,M,,M|
27,B,Uh-huh.,B|Uh-huh.
28,M,I think that's the point of the draft,M|I think that's the point of the draft
29,B,Uh-huh.,B|Uh-huh.
30,M,I don't really care.,M|I don't really care.
31,B,Uh-huh. No. Really?,B|Uh-huh. No. Really?
32,M,Uh uh uh uh,M|Uh uh uh uh
33,B,Ooh.,B|Ooh.
34,M,"Oh yeah, uh, I think you're right.","M|Oh yeah, uh, I think you're right."
35,B,Uh-huh.,B|Uh-huh.
36,M,Oooh. Uh.,M|Oooh. Uh.
37,B,Uh-huh. Um.,B|Uh-huh. Um.
38,M,"Well, I can't say I'm very impressed by the quality of the high school students, but it's a school.","M|Well, I can't say I'm very impressed by the quality of the high school students, but it's a school."
39,B,"Oh, I do too, I think they're doing real good job.","B|Oh, I do too, I think they're doing real good job."
40,M,I think they do.,M|I think they do.
41,B,"But, then, what do I know,  I don't have any kids.  No, none at all","B|But, then, what do I know,  I don't have any kids.  No, none at all"
42,M,"I don't know, I'm not sure.","M|I don't know, I'm not sure."
43,B,"Oh, yeah","B|Oh, yeah"
44,M,"Well, it's a thing you know.","M|Well, it's a thing you know."
45,B,Okay.,B|Okay.
46,M,I'm not.,M|I'm not.
47,B,"Well, it was good talking to you too.","B|Well, it was good talking to you too."
48,M,I'm glad you liked it.,M|I'm glad you liked it.
49,B,"We'll see you, bye-bye.","B|We'll see you, bye-bye."
50,M,Alright then.,M|Alright then.
