,Speaker,Utterance,Unified
5,M,How many of them were students?,M|How many of them were students?
6,B,"I rely primarily on, uh, newspaper combined with television.","B|I rely primarily on, uh, newspaper combined with television."
7,M,"You, news.and, news.","M|You, news.and, news."
8,B,Uh.,B|Uh.
9,M,...,M|...
10,B,Okay.,B|Okay.
11,M,It's not like it's hard to,M|It's not like it's hard to
12,B,That's rather interesting.,B|That's rather interesting.
13,M,Hehehe's.,M|Hehehe's.
14,B,"I'd, I'd have to say I haven't either.","B|I'd, I'd have to say I haven't either."
15,M,Not.,M|Not.
16,B,"I listen to the radio, uh, probably five or six hours a week, but almost inevitably to a station that is a classical, uh, station here ,  for music purposes.","B|I listen to the radio, uh, probably five or six hours a week, but almost inevitably to a station that is a classical, uh, station here ,  for music purposes."
17,M, helicop.yes..,M| helicop.yes..
18,B,"We don't use the radio as a wake up, we have our, a television connected to a, uh, uh, electronic alarm, uh, system that kicks in,","B|We don't use the radio as a wake up, we have our, a television connected to a, uh, uh, electronic alarm, uh, system that kicks in,"
19,M,,M|
20,B,and it comes on with C N N in the morning.,B|and it comes on with C N N in the morning.
21,M,And the music,M|And the music
22,B,"That we, we wake up to television news and, uh, uh, shower and dress, and whatever to that, and then because of the fact that my wife and I ride to work together, uh, in a car, we, we chat at each other rather than, than something else.","B|That we, we wake up to television news and, uh, uh, shower and dress, and whatever to that, and then because of the fact that my wife and I ride to work together, uh, in a car, we, we chat at each other rather than, than something else."
23,M,So...,M|So...
24,B,"Uh, and occasionally what we'll each do depending on whoever is driving is have the newspaper sort of on our lap on the way in, in the car, so we have the advantage of being able to, uh, read and drive although there seems to be, from what I've seen on the freeway recently that a fair number of people are reading and driving","B|Uh, and occasionally what we'll each do depending on whoever is driving is have the newspaper sort of on our lap on the way in, in the car, so we have the advantage of being able to, uh, read and drive although there seems to be, from what I've seen on the freeway recently that a fair number of people are reading and driving"
25,M,,M|
26,B,"So, we, we rely pretty, pretty heavily, I think, on a combination of the, of the two. I also, uh, use, uh, NEWSWEEK magazine. Uh,","B|So, we, we rely pretty, pretty heavily, I think, on a combination of the, of the two. I also, uh, use, uh, NEWSWEEK magazine. Uh,"
27,M,I,M|I
28,B,"we tend to alternate between NEWSWEEK and TIME and whatever happens to be the, the, uh, news magazine of the year for us.","B|we tend to alternate between NEWSWEEK and TIME and whatever happens to be the, the, uh, news magazine of the year for us."
29,M,,M|
30,B,"and, uh, I read sporadically of commentary and a couple of other, you know, trade magazines, and, uh, uh, such as that, uh, where I might read the, the occasional social and even current event commentaries, and, and everything as diverse as A C M to, uh, uh, some of the, uh, some of the other tabloids I get. So, uh, I guess I use about eighty percent written, is probably my input and twenty percent, uh, television. I, I think I respect the, from a journalistic perspective current events.","B|and, uh, I read sporadically of commentary and a couple of other, you know, trade magazines, and, uh, uh, such as that, uh, where I might read the, the occasional social and even current event commentaries, and, and everything as diverse as A C M to, uh, uh, some of the, uh, some of the other tabloids I get. So, uh, I guess I use about eighty percent written, is probably my input and twenty percent, uh, television. I, I think I respect the, from a journalistic perspective current events."
31,M,,M|
32,B,"I've always said that it, it's really not interesting unless it's three weeks old and found its way into a news weekly headline.","B|I've always said that it, it's really not interesting unless it's three weeks old and found its way into a news weekly headline."
33,M,".and,.","M|.and,."
34,B,"Uh, other than that it was a at best.","B|Uh, other than that it was a at best."
35,M,Then.,M|Then.
36,B,"Uh, we're probably not thrilled with our only newspaper that we have in Raleigh. There, there are other, uh, uh, I'm not sure what you would call them, they the small, uh, competing independent sort of newspapers. Little small weekly things, but there's only one daily, uh, called the NEWS AND OBSERVER, fondly referred to here by some as the, uh, uh, sometimes the Noise and Observer.","B|Uh, we're probably not thrilled with our only newspaper that we have in Raleigh. There, there are other, uh, uh, I'm not sure what you would call them, they the small, uh, competing independent sort of newspapers. Little small weekly things, but there's only one daily, uh, called the NEWS AND OBSERVER, fondly referred to here by some as the, uh, uh, sometimes the Noise and Observer."
37,M,...,M|...
