,Speaker,Utterance,Unified
5,B,Okay.,B|Okay.
6,M,I'm a freshman.,M|I'm a freshman.
7,B,Oh,B|Oh
8,M,I'm a student,M|I'm a student
9,B,Yes Yes. Yeah.,B|Yes Yes. Yeah.
10,M,So you're a carpooler?,M|So you're a carpooler?
11,B,"Uh, well, uh, yeah. We 've spend a spend a did spend a lot of time, uh, it really helped when the, uh, older one was old enough to get his license and could, uh drive around by himself although that brought in a whole other set of problems.","B|Uh, well, uh, yeah. We 've spend a spend a did spend a lot of time, uh, it really helped when the, uh, older one was old enough to get his license and could, uh drive around by himself although that brought in a whole other set of problems."
12,M,...,M|...
13,B,"But, uh, I, uh, yeah, for one thing. Uh, but yeah, we, uh, we do but our two had, had, uh, totally different interests of, but there was not much, uh, overlap as such. The, the older one is not, was not at all into, uh, sports for the most part. Uh, he participated band and, and, uh, scouts were his two big things.","B|But, uh, I, uh, yeah, for one thing. Uh, but yeah, we, uh, we do but our two had, had, uh, totally different interests of, but there was not much, uh, overlap as such. The, the older one is not, was not at all into, uh, sports for the most part. Uh, he participated band and, and, uh, scouts were his two big things."
14,M,s.,M|s.
15,B,"And, uh and the, yeah, younger one is, uh, uh, the sports one and the, whatever season it is he's, he's playing, although football is really his favorite","B|And, uh and the, yeah, younger one is, uh, uh, the sports one and the, whatever season it is he's, he's playing, although football is really his favorite"
16,M,It.,M|It.
17,B,"Yeah. So, uh, yeah, we spend a lot of time, uh, uh, carpooling and, uh, you know, and then trying to be, uh, up as much as possible with anything that they, that they do.","B|Yeah. So, uh, yeah, we spend a lot of time, uh, uh, carpooling and, uh, you know, and then trying to be, uh, up as much as possible with anything that they, that they do."
18,M,you,M|you
19,B,"But then, uh, we also didn't do , spend, uh, time with them trying to, trying to, uh, you know, just family time.","B|But then, uh, we also didn't do , spend, uh, time with them trying to, trying to, uh, you know, just family time."
20,M,"Hehe's, uh, uh.","M|Hehe's, uh, uh."
21,B,"Uh, we had a, at a fairly young age we started teaching them to play games and card games and so forth. And, and, uh, uh, but we didn't, uh, do it as much or as often as, uh, I would have liked to. I would like to do that as a, as a family and, and some T V watching.","B|Uh, we had a, at a fairly young age we started teaching them to play games and card games and so forth. And, and, uh, uh, but we didn't, uh, do it as much or as often as, uh, I would have liked to. I would like to do that as a, as a family and, and some T V watching."
22,M,So,M|So
23,B,What about you?,B|What about you?
24,M,I don,M|I don
25,B,"Yeah, I've, I've heard of that.","B|Yeah, I've, I've heard of that."
26,M,"I've heard about the Mah'jian tile game, too.","M|I've heard about the Mah'jian tile game, too."
27,B,"I've never actually, never actually played it. But,","B|I've never actually, never actually played it. But,"
28,M,There is a sequel to this called Mah'Mah'Mah.,M|There is a sequel to this called Mah'Mah'Mah.
29,B,"Yeah, yeah.","B|Yeah, yeah."
30,M,I'm from Memphis. I love it.,M|I'm from Memphis. I love it.
31,B,Yeah.,B|Yeah.
32,M,I have a friend who plays it. It's fun.It's fun,M|I have a friend who plays it. It's fun.It's fun
33,B,Yeah.,B|Yeah.
34,M,I guess so.,M|I guess so.
35,B,"Yeah, so do we.","B|Yeah, so do we."
36,M,I think we go to the same school.,M|I think we go to the same school.
37,B,Okay. Yeah.,B|Okay. Yeah.
38,M,You know that.,M|You know that.
39,B,Yeah.,B|Yeah.
40,M,"Well, we have a camp.","M|Well, we have a camp."
41,B,"Oh, now that's neat.","B|Oh, now that's neat."
42,M,"I do, I'm the daughter of a writer.","M|I do, I'm the daughter of a writer."
43,B,"Yeah.  No, we've never had anything like that.","B|Yeah.  No, we've never had anything like that."
44,M,"I mean, we've had some stuff like that, but we're not really the most common kind of people.","M|I mean, we've had some stuff like that, but we're not really the most common kind of people."
45,B,Yeah.,B|Yeah.
46,M,That's neat.,M|That's neat.
47,B,Uh-huh.,B|Uh-huh.
48,M,Yea.huh.,M|Yea.huh.
49,B,"Uh-huh.  Oh, well, good. Well, I, you know, in terms of, in terms of any sorts of trends I, you know, obviously things are different from, for me than, and my children than when I was growing up.","B|Uh-huh.  Oh, well, good. Well, I, you know, in terms of, in terms of any sorts of trends I, you know, obviously things are different from, for me than, and my children than when I was growing up."
50,M,What?,M|What?
51,B,"I, I, I grew up on a farm, uh, in Iowa, and, uh, you know the whole family was around the, the whole time. And then what my father did was, was, uh, you know, obvious to me and I, I helped out with it. But, uh, although I have brought my boys into to see where I work, it's not that easy, and it's, it's certainly not at all common, and they, they just don't really have that same idea,","B|I, I, I grew up on a farm, uh, in Iowa, and, uh, you know the whole family was around the, the whole time. And then what my father did was, was, uh, you know, obvious to me and I, I helped out with it. But, uh, although I have brought my boys into to see where I work, it's not that easy, and it's, it's certainly not at all common, and they, they just don't really have that same idea,"
52,M,...,M|...
53,B,"so they, uh, it's a, it's a whole different, uh, kind of thing there then, uh,","B|so they, uh, it's a, it's a whole different, uh, kind of thing there then, uh,"
54,M,I,M|I
55,B,Yeah.,B|Yeah.
56,M,I have to.,M|I have to.
57,B,"Yeah. Yeah. Well, that makes it hard though for in terms of, you know, family time with, with him.","B|Yeah. Yeah. Well, that makes it hard though for in terms of, you know, family time with, with him."
58,M,"Oh, yeah, I think I know what you mean.","M|Oh, yeah, I think I know what you mean."
59,B,"Yeah, I've been lucky in that respect that I don't, uh, don't travel too much .","B|Yeah, I've been lucky in that respect that I don't, uh, don't travel too much ."
60,M,Yeah. It's not a lot of fun.,M|Yeah. It's not a lot of fun.
61,B,Oh.,B|Oh.
62,M,He is.,M|He is.
63,B,Yeah.,B|Yeah.
64,M,"I'm sorry, I'm not sure what you mean.","M|I'm sorry, I'm not sure what you mean."
65,B,Yes.,B|Yes.
66,M,Oh.It.Because.He.is.going.Back.Now.The.Real.Killers.Are.Coming.If.You.Get.Into.My.Room.He's.Wearing.The.Real.Wear.They.Are.Coming.When.You.Go.Back.,M|Oh.It.Because.He.is.going.Back.Now.The.Real.Killers.Are.Coming.If.You.Get.Into.My.Room.He's.Wearing.The.Real.Wear.They.Are.Coming.When.You.Go.Back.
67,B,Yeah.,B|Yeah.
68,M,He's gone.He's been gone for like 3 weeks.,M|He's gone.He's been gone for like 3 weeks.
69,B,Yeah. Yeah.,B|Yeah. Yeah.
70,M,Like what?,M|Like what?
71,B,"Yeah. Yeah, right.","B|Yeah. Yeah, right."
72,M,Oh.Right.,M|Oh.Right.
