,Speaker,Utterance,Unified
5,M,I am,M|I am
6,B,"Um. Okay,  and did,","B|Um. Okay,  and did,"
7,M,"I'm going to say yes, yes I am.","M|I'm going to say yes, yes I am."
8,B,Yeah.,B|Yeah.
9,M,Are they?,M|Are they?
10,B,"What, what are you doing?","B|What, what are you doing?"
11,M,I'm sure it's fine.,M|I'm sure it's fine.
12,B,"Oh, okay. Do, do they play like, uh, like does the eight year old play baseball?","B|Oh, okay. Do, do they play like, uh, like does the eight year old play baseball?"
13,M,"It's an old joke, I'm sure they'll just give us a little description of the game and it'll be like, I know this game is called Baseball, but what's it's name?","M|It's an old joke, I'm sure they'll just give us a little description of the game and it'll be like, I know this game is called Baseball, but what's it's name?"
14,B,"Okay, and, and in, in his league do they have like a pitcher, or do they have a standing ball or a machine, or what?","B|Okay, and, and in, in his league do they have like a pitcher, or do they have a standing ball or a machine, or what?"
15,M,I'm not sure. They've played baseball for a while now.,M|I'm not sure. They've played baseball for a while now.
16,B,Okay.,B|Okay.
17,M,"I'll be here until, the end of May.","M|I'll be here until, the end of May."
18,B,"Oh, okay.","B|Oh, okay."
19,M,He's gonna be on the mound,M|He's gonna be on the mound
20,B,"Yeah. I, I used to play soccer when I was that age up in New York,","B|Yeah. I, I used to play soccer when I was that age up in New York,"
21,M,Do you play baseball?,M|Do you play baseball?
22,B,so.,B|so.
23,M,Oh. So.,M|Oh. So.
24,B,"Yeah, and how about, how about like on the weekends. Do you do sports or do you go out?","B|Yeah, and how about, how about like on the weekends. Do you do sports or do you go out?"
25,M,I'm in the same boat.,M|I'm in the same boat.
26,B,"Do you go, how about like for, uh, do you go for long vacations, like a week or something when they have school off?","B|Do you go, how about like for, uh, do you go for long vacations, like a week or something when they have school off?"
27,M,"I do, but not for school.","M|I do, but not for school."
28,B,"In the summer or like in the Easter time, like around now?","B|In the summer or like in the Easter time, like around now?"
29,M,What time do you do your summer vacation?,M|What time do you do your summer vacation?
30,B,And where do you go?,B|And where do you go?
31,M,"You can go to the beach, go to a beach, or go to school","M|You can go to the beach, go to a beach, or go to school"
32,B,"Have, have you been out of the country?","B|Have, have you been out of the country?"
33,M,Where do you live?,M|Where do you live?
34,B,"Oh, okay, well, first, they always say, get to know your country first before you leave,  I mean  I, I lived in places, like","B|Oh, okay, well, first, they always say, get to know your country first before you leave,  I mean  I, I lived in places, like"
35,M,I live in the US,M|I live in the US
36,B,"when I lived in Washington, uh, Washington, D C, I never went to the Washington Memorial, and then when I went back to visit, I went to the Washington Memorial.","B|when I lived in Washington, uh, Washington, D C, I never went to the Washington Memorial, and then when I went back to visit, I went to the Washington Memorial."
37,M,What's the difference?,M|What's the difference?
38,B,Right.,B|Right.
39,M,"They're, they're","M|They're, they're"
40,B,"Right. Well, it's, it's a beautiful city.","B|Right. Well, it's, it's a beautiful city."
41,M,Why?,M|Why?
42,B,"But, the problem is , like first time I went out of here, and they took me to Las Vegas","B|But, the problem is , like first time I went out of here, and they took me to Las Vegas"
43,M,"Well, you can go to the museum and have a look around.","M|Well, you can go to the museum and have a look around."
44,B,and that was the most boring place on earth.,B|and that was the most boring place on earth.
45,M,I'm from Las Vegas.,M|I'm from Las Vegas.
46,B,"Yeah. Did, uh, did, like, did you go to Disneyland?","B|Yeah. Did, uh, did, like, did you go to Disneyland?"
47,M,I know! I've been to Disneyland!,M|I know! I've been to Disneyland!
48,B,"Oh, okay. So, but um, now, I don't know, but um, but let's see, when I was eleven I went also to the Caribbean.","B|Oh, okay. So, but um, now, I don't know, but um, but let's see, when I was eleven I went also to the Caribbean."
49,M,"I know, I'm a girl, and yes, I went to Disney World.","M|I know, I'm a girl, and yes, I went to Disney World."
50,B,"and, uh, then after that, I, my sister lives in Turkey, so when I was like fourteen, fifteen, I went, I went to Turkey.","B|and, uh, then after that, I, my sister lives in Turkey, so when I was like fourteen, fifteen, I went, I went to Turkey."
51,M,I go to school in Turkey.,M|I go to school in Turkey.
52,B,"And this Christmas, I went to Turkey. But basically, it's a, for the past couple of years, I, since my parents are, are, well, I'm from Argentina, and my parents live down there. So, all the traveling I do is alone.","B|And this Christmas, I went to Turkey. But basically, it's a, for the past couple of years, I, since my parents are, are, well, I'm from Argentina, and my parents live down there. So, all the traveling I do is alone."
53,M,"Yeah, I'll leave","M|Yeah, I'll leave"
54,B,"And, uh, we were never much of, uh, a very, uh, family thing, you know, made, like go skiing in Vermont or something.","B|And, uh, we were never much of, uh, a very, uh, family thing, you know, made, like go skiing in Vermont or something."
55,M,...,M|...
56,B,"That was, uh, that was a lot of fun.","B|That was, uh, that was a lot of fun."
57,M,"I'm sure, it's been a long time.","M|I'm sure, it's been a long time."
58,B,"But, what happens is we used to fight a lot, so there's never much of a family family thing. You know, one of those hell family vacations.","B|But, what happens is we used to fight a lot, so there's never much of a family family thing. You know, one of those hell family vacations."
59,M,I think you mean family.,M|I think you mean family.
60,B,Yeah.,B|Yeah.
61,M,"You try to make it, we try.","M|You try to make it, we try."
62,B,Yeah.,B|Yeah.
63,M,"Because, uh, we try, my mom is dead, you know, my dad was dead, and my mom's dead, I'm a dad, you mean.","M|Because, uh, we try, my mom is dead, you know, my dad was dead, and my mom's dead, I'm a dad, you mean."
64,B,"Well, my dad, all he, all he wanted to do was get money for us, so he could buy us material things.","B|Well, my dad, all he, all he wanted to do was get money for us, so he could buy us material things."
65,M,So why did you have kids?,M|So why did you have kids?
66,B,"And, and to me, you know, it's like, now I'm twenty-two, but I still feel, you know, it's like yeah, we never threw a football or something","B|And, and to me, you know, it's like, now I'm twenty-two, but I still feel, you know, it's like yeah, we never threw a football or something"
67,M,"Yeah, and, we never throw a football, but we throw.","M|Yeah, and, we never throw a football, but we throw."
68,B,"and the way I was brought up, and he wants me now, he, like he, you know, like he wants to be best friends now","B|and the way I was brought up, and he wants me now, he, like he, you know, like he wants to be best friends now"
69,M,"I was raised by a woman, and I know how","M|I was raised by a woman, and I know how"
70,B,"and it's very hard for me because, you know, it's like you grow up to be twenty years old, and it's always the same man","B|and it's very hard for me because, you know, it's like you grow up to be twenty years old, and it's always the same man"
71,M,"I, uh, don't know, I don't think","M|I, uh, don't know, I don't think"
72,B,"and then suddenly he sees that he's getting old, and he wants to be best friends","B|and then suddenly he sees that he's getting old, and he wants to be best friends"
73,M,"He has a friend who is like, 25 and he's the best friend he's ever had.","M|He has a friend who is like, 25 and he's the best friend he's ever had."
74,B,"but, uh, you know, it's like, I can only express myself so much, because, you know, um, everything that he taught me, you know, that my family taught me, which is very hard to change that all of a sudden from one year to the next and say, I'm sorry, you know. It's like, you know, I love you and let's go out and do things together when I don't feel like it, you know","B|but, uh, you know, it's like, I can only express myself so much, because, you know, um, everything that he taught me, you know, that my family taught me, which is very hard to change that all of a sudden from one year to the next and say, I'm sorry, you know. It's like, you know, I love you and let's go out and do things together when I don't feel like it, you know"
75,M,I,M|I
76,B,"and so, that's that whole thing that he'll say when, like, like I've seen my uncle and his family, you know, does everything together, and you know, his kids are, you know, when his little girl was five years old and everything, they, uh, they would go to the beach, and she could go to sleep at two in the morning you know","B|and so, that's that whole thing that he'll say when, like, like I've seen my uncle and his family, you know, does everything together, and you know, his kids are, you know, when his little girl was five years old and everything, they, uh, they would go to the beach, and she could go to sleep at two in the morning you know"
77,M,you.,M|you.
78,B,"and, uh, I was brought up the same way, it doesn't matter what age you have, just so long as you can get up to go to class the next morning, you can stay up you know,","B|and, uh, I was brought up the same way, it doesn't matter what age you have, just so long as you can get up to go to class the next morning, you can stay up you know,"
79,M,It,M|It
80,B,"but his, what he does is, when he gets home, he separates his work from his house.","B|but his, what he does is, when he gets home, he separates his work from his house."
81,M,"But, he does, he's, he stays, stay, he, he' he, stay' stay, stay","M|But, he does, he's, he stays, stay, he, he' he, stay' stay, stay"
82,B,Yeah.,B|Yeah.
83,M,you have to be in school to do that.,M|you have to be in school to do that.
84,B,Yeah.,B|Yeah.
85,M,You have a family?,M|You have a family?
86,B,"Yeah,  yeah, but, uh, it's just, it's just something that, you know, my theory is, you know, when, when you have kids and all you, you want to do, well, what I'll do is, you know, like, I mean, you might have problems, but it's not your kids' problems you know,","B|Yeah,  yeah, but, uh, it's just, it's just something that, you know, my theory is, you know, when, when you have kids and all you, you want to do, well, what I'll do is, you know, like, I mean, you might have problems, but it's not your kids' problems you know,"
87,M,,M|
88,B,"and you got to try to be with them as much as you can and to, you know, like, thing is, is, that, you know, like if, if they would ever happen to have a drug problem, suppose, that they could feel comfortable coming to me and saying, I got a problem you know,","B|and you got to try to be with them as much as you can and to, you know, like, thing is, is, that, you know, like if, if they would ever happen to have a drug problem, suppose, that they could feel comfortable coming to me and saying, I got a problem you know,"
89,M,,M|
90,B,"and, uh and that would make any parent feel good and bad at the same time, you know,","B|and, uh and that would make any parent feel good and bad at the same time, you know,"
91,M,You,M|You
92,B,"first of all you're coming to me and let's see how we can get rid of the problem, you know, and that's uh, that's very, that's very hard to do, because once you're best friends with your parents, then, I think everything go a lot better.","B|first of all you're coming to me and let's see how we can get rid of the problem, you know, and that's uh, that's very, that's very hard to do, because once you're best friends with your parents, then, I think everything go a lot better."
93,M,,M|
94,B,Yeah.,B|Yeah.
95,M,"Yes, I'm, it's.","M|Yes, I'm, it's."
96,B,"Yeah, my, my father was raising four oh well, three kids before he had me, so it was, uh, you know, you're trying, to support, uh, four kids, and it's pretty hard you know,","B|Yeah, my, my father was raising four oh well, three kids before he had me, so it was, uh, you know, you're trying, to support, uh, four kids, and it's pretty hard you know,"
97,M,"I, you,","M|I, you,"
98,B,"and I, I told him, listen you could have had a lot of money if you would have only had two kids.","B|and I, I told him, listen you could have had a lot of money if you would have only had two kids."
99,M,I don't have any money.,M|I don't have any money.
100,B,"He says yeah, but then I wouldn't have you, I go, yeah, but then you would have a lot of money","B|He says yeah, but then I wouldn't have you, I go, yeah, but then you would have a lot of money"
101,M,"I'm not sure if I should say yes, but yeah","M|I'm not sure if I should say yes, but yeah"
102,B,Yeah.,B|Yeah.
103,M,But I was told that I could have a much bigger family.I.could have been a lot richer.Thats why I have a family.It isnt really my fault,M|But I was told that I could have a much bigger family.I.could have been a lot richer.Thats why I have a family.It isnt really my fault
104,B,"But, you know, like, four, I mean four children is expensive, especially when you consider like, especially for me, which I'm paying out of state tuition. I'm paying, you know, three thousand, no, what is it, two thousand six hundred dollars for one semester.","B|But, you know, like, four, I mean four children is expensive, especially when you consider like, especially for me, which I'm paying out of state tuition. I'm paying, you know, three thousand, no, what is it, two thousand six hundred dollars for one semester."
105,M,I'm paying.,M|I'm paying.
106,B,"And, you know, people say, you know, it's expensive to think it's college, but, if, if everybody would be a little bit responsible, you know, it's like, what does it, what does it cost. It costs five hundred dollars a semester suppose. Now they go to a state college and they live at home you know,","B|And, you know, people say, you know, it's expensive to think it's college, but, if, if everybody would be a little bit responsible, you know, it's like, what does it, what does it cost. It costs five hundred dollars a semester suppose. Now they go to a state college and they live at home you know,"
107,M,No,M|No
108,B,"and well, it costs two hundred dollars for books, but you know, seven hundred dollars a semester, a lot of people can spare that if they planned ahead, you know, like","B|and well, it costs two hundred dollars for books, but you know, seven hundred dollars a semester, a lot of people can spare that if they planned ahead, you know, like"
109,M,...,M|...
110,B,"I mean, it's like, if you plan a year ahead, you can probably save up seven hundred dollars you know, one thousand four hundred dollars to send your child to college, you know.","B|I mean, it's like, if you plan a year ahead, you can probably save up seven hundred dollars you know, one thousand four hundred dollars to send your child to college, you know."
111,M,"Yeah,","M|Yeah,"
112,B,"Oh, oh, excuse me?","B|Oh, oh, excuse me?"
113,M,I'm not a student.,M|I'm not a student.
114,B,"Well, I, I'm doing computer science, computer engineering.","B|Well, I, I'm doing computer science, computer engineering."
115,M,What kind of engineering are you doing?,M|What kind of engineering are you doing?
116,B,"Yeah, and, and now I'm looking for a job before they have to send me back home","B|Yeah, and, and now I'm looking for a job before they have to send me back home"
117,M,I'm trying to get back home.,M|I'm trying to get back home.
118,B,"because since I'm an international student, they want to send me back to Argentina.","B|because since I'm an international student, they want to send me back to Argentina."
119,M,Why not?,M|Why not?
120,B,"Well, my dad wants me to go back. So.","B|Well, my dad wants me to go back. So."
121,M,"Yes, you do.","M|Yes, you do."
122,B,No.,B|No.
123,M,I want to go to Argentina,M|I want to go to Argentina
124,B,"No, because if you go back there, then you can never get out.","B|No, because if you go back there, then you can never get out."
125,M,I'm going back to the future.,M|I'm going back to the future.
126,B,"Like you don't have any money to, to, get out.","B|Like you don't have any money to, to, get out."
127,M,I don't.,M|I don't.
128,B,"So, uh, and, uh, I was thinking, you know, like, Oh my God, you know, I go back there, and then, and I get married there, and now I have kids there, and then I'll never leave the place, you know.","B|So, uh, and, uh, I was thinking, you know, like, Oh my God, you know, I go back there, and then, and I get married there, and now I have kids there, and then I'll never leave the place, you know."
129,M,"But you're married, so you don'have to go back.","M|But you're married, so you don'have to go back."
130,B,"Yeah, I know, and that's, that's what happened to my brother. He came to school up here, and then when he went down there, he was just so bad off, you know from not being able to stay up here that his life just went down the drain.","B|Yeah, I know, and that's, that's what happened to my brother. He came to school up here, and then when he went down there, he was just so bad off, you know from not being able to stay up here that his life just went down the drain."
131,M,...,M|...
132,B,So.,B|So.
133,M,That's how you get.,M|That's how you get.
134,B,"Yeah, I've been calling a lot of companies. There, some of them are interested. Well, at least for a year and a half I can work,","B|Yeah, I've been calling a lot of companies. There, some of them are interested. Well, at least for a year and a half I can work,"
135,M,"Well, you're not the only one.","M|Well, you're not the only one."
136,B,so.,B|so.
137,M,It's been pretty good.,M|It's been pretty good.
138,B,"All right, same here.","B|All right, same here."
139,M,You're right.,M|You're right.
140,B,Bye-bye.,B|Bye-bye.
