,Speaker,Utterance,Unified
5,M,There is no problem.,M|There is no problem.
6,B,"It, it, it's pretty bad here, too.","B|It, it, it's pretty bad here, too."
7,M,I'm not sure if you can call it a problem,M|I'm not sure if you can call it a problem
8,B,"We've had a lot of murders drug related and stuff. In Durham, which is right next to Raleigh.","B|We've had a lot of murders drug related and stuff. In Durham, which is right next to Raleigh."
9,M,I think that it's not that uncommon to have a murder in a bar in Durham.,M|I think that it's not that uncommon to have a murder in a bar in Durham.
10,B,"Yeah, that, that Durham, Raleigh, and Chapel Hill is the triangle.","B|Yeah, that, that Durham, Raleigh, and Chapel Hill is the triangle."
11,M,"So, the Triangle is the North Carolina of the South?","M|So, the Triangle is the North Carolina of the South?"
12,B,Right.,B|Right.
13,M,"Well, we have a lot to do.","M|Well, we have a lot to do."
14,B,"Yeah, it's, it's really, it's, and I've seen in more in Durham than I have in Raleigh or, or or Chapel Hill.","B|Yeah, it's, it's really, it's, and I've seen in more in Durham than I have in Raleigh or, or or Chapel Hill."
15,M,"It's, it's.","M|It's, it's."
16,B,"Chapel Hill is kind of a, a ritzy city or whatever. I mean, it's kind of, I'm, I'm sure there is problems with it, but it has a pretty low crime rate. Compare, compared to, to, Durham has probably got the worst. They've had like forty-eight murders since the beginning of the year.","B|Chapel Hill is kind of a, a ritzy city or whatever. I mean, it's kind of, I'm, I'm sure there is problems with it, but it has a pretty low crime rate. Compare, compared to, to, Durham has probably got the worst. They've had like forty-eight murders since the beginning of the year."
17,M,I,M|I
18,B,And over half of it has been drug related.,B|And over half of it has been drug related.
19,M,I'm,M|I'm
20,B,Yeah.,B|Yeah.
21,M,It's.like.the.every.year.year.,M|It's.like.the.every.year.year.
22,B,Yeah.,B|Yeah.
23,M,,M|
24,B,"Well, that, and the, and the economy is so bad and, And so many people have been laid off and stuff.","B|Well, that, and the, and the economy is so bad and, And so many people have been laid off and stuff."
25,M,"Umm, yeah.","M|Umm, yeah."
26,B,"They've done special stories on the news, local news here.","B|They've done special stories on the news, local news here."
27,M,Why is the news so bad?,M|Why is the news so bad?
28,B,"We had a lot of bank robberies and different, lot of break ins and stuff. I know, like a week or so ago, I live in a, in a town house, which is, you know, it's a pretty nice neighborhood and this lady was going to work, she came home and everything in her house was total gone, light fixtures, everything. And nobody thought any different, they just thought she was moving. It was a moving man pulled right up to her house, broke in and stole everything she owned","B|We had a lot of bank robberies and different, lot of break ins and stuff. I know, like a week or so ago, I live in a, in a town house, which is, you know, it's a pretty nice neighborhood and this lady was going to work, she came home and everything in her house was total gone, light fixtures, everything. And nobody thought any different, they just thought she was moving. It was a moving man pulled right up to her house, broke in and stole everything she owned"
29,M,yes.,M|yes.
30,B,"Well, yeah, it's, it's, it's pretty bad","B|Well, yeah, it's, it's, it's pretty bad"
31,M,It's,M|It's
32,B,"Uh, I would say so for the majority in, in our, in my little section of the neighborhood because there is always somebody at home","B|Uh, I would say so for the majority in, in our, in my little section of the neighborhood because there is always somebody at home"
33,M,I,M|I
34,B,"and we all know one another and, and, on our one little section of the street we all know one another and know that we're not moving and different things like that.","B|and we all know one another and, and, on our one little section of the street we all know one another and know that we're not moving and different things like that."
35,M,I think I'm gonna be fine,M|I think I'm gonna be fine
36,B,"It's, I, I'm, I'm probably the, one of the youngest people that live over here.","B|It's, I, I'm, I'm probably the, one of the youngest people that live over here."
37,M,"I, I'm so sorry.","M|I, I'm so sorry."
38,B,"Most people are, are, retired or, or, or, you know, they're, they're in their forties or, or whatever. So and I'm in my twenties, so I, I'm, I'm out more than they are, but they're at home at night,","B|Most people are, are, retired or, or, or, you know, they're, they're in their forties or, or whatever. So and I'm in my twenties, so I, I'm, I'm out more than they are, but they're at home at night,"
39,M,...,M|...
40,B,so I really don't worry about anything.,B|so I really don't worry about anything.
41,M,"Well, I'm not a huge fan of people in their late 20's, so I'm still pretty cool.","M|Well, I'm not a huge fan of people in their late 20's, so I'm still pretty cool."
42,B,Yeah.,B|Yeah.
43,M,Are you guys ever in trouble?,M|Are you guys ever in trouble?
44,B,"Yeah, see, that's the same thing here.","B|Yeah, see, that's the same thing here."
45,M,100.,M|100.
46,B,Yeah.,B|Yeah.
47,M,So,M|So
48,B,Yeah.,B|Yeah.
49,M,No. That's the problem.,M|No. That's the problem.
