Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	i don't know if everybody	7	B	51, 57
2	5	uh i don't know if	7	B	51, 57
2	4	have a problem with	3	B	1, 3
2	4	i don't know if	7	B	51, 57
2	4	i don't think anybody	17	B	11, 27
2	4	i i don't know	31	B	27, 57
2	4	on the other hand	15	B	1, 15
2	4	there's a lot of	17	B	29, 45
2	4	you know if you	15	B	43, 57
5	3	that's right .	63	B	7, 19, 33, 67, 69
4	3	uh you know	35	B	9, 17, 27, 43
3	3	a lot of	17	B	29, 37, 45
3	3	it's it's a	51	B	1, 15, 51
3	3	know if you	15	B	43, 51, 57
3	3	there's a lot	25	B	21, 29, 45
3	3	uh i don't	47	B	11, 51, 57
3	3	you know it	25	B	27, 29, 51
2	3	. even if	39	B	19, 57
2	3	and whatnot .	11	B	35, 45
2	3	as far as	27	B	1, 27
2	3	i think the	3	B	23, 25
2	3	it may prevent	3	B	49, 51
2	3	it uh i	9	B	1, 9
2	3	it you know	15	B	15, 29
2	3	it's it's it's	29	B	15, 43
2	3	kinds of things	3	B	61, 63
2	3	people do um	13	B	1, 13
2	3	that i i	31	B	27, 57
2	3	that it's it's	15	B	1, 15
2	3	the company and	17	B	1, 17
2	3	the possibility of	37	B	15, 51
2	3	uh i guess	7	B	3, 9
2	3	uh it's just	9	B	27, 35
2	3	um you know	39	B	13, 51
2	3	yeah i i	25	B	35, 59
2	3	you know a	11	B	9, 19
2	3	you know the	7	B	45, 51
14	2	you know	61	B	9, 13, 15, 17, 19, 27, 29, 35, 37, 43, 45, 51, 57, 69
7	2	i think	75	B	1, 23, 25, 27, 45, 59, 75
7	2	uh-huh .	61	B	5, 31, 41, 47, 55, 57, 65
6	2	and uh	55	B	9, 15, 17, 21, 27, 63
6	2	but uh	47	B	27, 39, 45, 51, 71, 73
6	2	i don't	57	B	1, 11, 13, 27, 51, 57
6	2	i i	43	B	27, 35, 49, 57, 59, 69
6	2	right .	63	B	7, 9, 19, 33, 67, 69
5	2	a lot	25	B	21, 29, 35, 37, 45
5	2	it it	53	B	9, 15, 35, 45, 61
5	2	it's it's	51	B	1, 15, 43, 45, 51
5	2	on the	57	B	1, 15, 27, 51, 57
4	2	i guess	47	B	3, 9, 43, 49
4	2	it's a	51	B	1, 15, 27, 51
4	2	kind of	43	B	3, 9, 17, 45
4	2	of the	69	B	1, 27, 51, 69
4	2	the the	33	B	25, 35, 51, 57
3	2	and that	57	B	15, 57, 71
3	2	and whatnot	37	B	9, 35, 45
3	2	as a	61	B	1, 27, 61
3	2	don't think	39	B	11, 27, 49
3	2	if you	15	B	43, 51, 57
3	2	it .	23	B	27, 35, 49
3	2	some people	35	B	15, 35, 49
3	2	they could	37	B	35, 69, 71
3	2	things that	27	B	45, 63, 71
3	2	uh it's	19	B	27, 35, 45
3	2	um i	25	B	1, 3, 25
3	2	yeah i	41	B	35, 59, 75
2	2	. i	21	B	49, 69
2	2	a a	49	B	9, 57
2	2	and it	33	B	29, 61
2	2	and the	51	B	1, 51
2	2	any any	3	B	9, 11
2	2	but i	27	B	3, 29
2	2	but um	15	B	13, 27
2	2	drug use	7	B	9, 15
2	2	for the	15	B	13, 27
2	2	going to	21	B	49, 69
2	2	have to	33	B	19, 51
2	2	if it	31	B	19, 49
2	2	is is	17	B	9, 25
2	2	it is	5	B	15, 19
2	2	it it's	27	B	27, 53
2	2	it still	43	B	3, 45
2	2	know that	19	B	9, 27
2	2	no i	15	B	27, 41
2	2	of a	11	B	35, 45
2	2	of it	11	B	13, 23
2	2	of people	3	B	15, 17
2	2	of uh	11	B	9, 19
2	2	show up	3	B	61, 63
2	2	t i	3	B	35, 37
2	2	that still	13	B	51, 63
2	2	that the	51	B	1, 51
2	2	that was	13	B	45, 57
2	2	the whole	11	B	35, 45
2	2	think so	27	B	49, 75
2	2	too .	21	B	57, 77
2	2	tough question	19	B	27, 45
2	2	uh uh	3	B	9, 11
2	2	what i'm	11	B	49, 59
2	2	with it	35	B	1, 35
20	1	i	75	B	1, 3, 9, 11, 13, 23, 25, 27, 29, 35, 37, 41, 43, 45, 49, 51, 57, 59, 69, 75
20	1	uh	73	B	1, 3, 9, 11, 13, 15, 17, 19, 21, 27, 35, 39, 43, 45, 51, 57, 63, 69, 71, 73
19	1	of	69	B	1, 3, 9, 13, 15, 17, 19, 23, 25, 27, 29, 35, 37, 43, 45, 51, 61, 63, 69
18	1	a	71	B	1, 3, 9, 15, 19, 21, 23, 27, 29, 35, 37, 43, 45, 49, 51, 57, 61, 71
18	1	you	69	B	9, 13, 15, 17, 19, 23, 27, 29, 31, 35, 37, 43, 45, 51, 57, 59, 69, 77
16	1	and	71	B	1, 9, 15, 17, 21, 27, 29, 35, 43, 45, 51, 57, 61, 63, 69, 71
16	1	it	61	B	1, 3, 9, 13, 15, 19, 23, 25, 27, 29, 35, 45, 49, 51, 53, 61
16	1	the	69	B	1, 11, 13, 15, 17, 23, 25, 27, 35, 37, 45, 51, 57, 61, 63, 69
14	1	know	61	B	9, 13, 15, 17, 19, 27, 29, 35, 37, 43, 45, 51, 57, 69
13	1	that	71	B	1, 9, 11, 15, 23, 27, 35, 43, 45, 51, 57, 63, 71
12	1	to	61	B	9, 19, 25, 27, 35, 37, 43, 45, 49, 51, 57, 69
